"";"finessGeoDP";"n";"PCT";"TOT"
"1";"010780195";130;32,1;405
"2";"010780203";237;42,5;558
"3";"020000162";44;13,7;321
"4";"020000394";156;50,2;311
"5";"020010047";54;14,3;377
"6";"030781116";37;14;264
"7";"060000510";45;9,7;462
"8";"060021417";32;8,2;391
"9";"060780491";87;18,2;478
"10";"060780590";55;16,4;336
"11";"060780715";39;11,1;351
"12";"060789195";203;20,8;977
"13";"070780424";175;28,6;612
"14";"080010473";127;20,5;620
"15";"100000082";45;16,9;267
"16";"100000124";169;25;675
"17";"100010818";61;19,9;307
"18";"110000023";102;19,7;518
"19";"130001225";87;27,4;317
"20";"130043664";567;35,1;1614
"21";"130780521";106;27,1;391
"22";"130781479";232;29,7;780
"23";"130782162";128;25;512
"24";"130783236";162;26,2;618
"25";"130783327";202;20,1;1003
"26";"130785652";148;28,2;525
"27";"130786361";283;19,7;1435
"28";"130810740";165;22,9;719
"29";"140000209";178;20;892
"30";"140016759";81;13,7;592
"31";"140017237";51;19,8;257
"32";"160013207";60;14,2;422
"33";"170000095";67;25,6;262
"34";"170000152";103;17;606
"35";"170780563";51;18,2;280
"36";"180004145";78;20,9;373
"37";"210012670";462;34,5;1338
"38";"210780789";172;23,9;720
"39";"220022800";137;24;571
"40";"250011848";134;14;955
"41";"260000260";129;24,3;530
"42";"260003017";49;17;288
"43";"280504267";32;12,6;253
"44";"290000215";66;34,6;191
"45";"290004324";79;20,8;380
"46";"290019777";49;12,7;387
"47";"2B0000145";115;28,7;401
"48";"300780137";106;27,2;390
"49";"300782117";332;27,1;1225
"50";"300788502";279;26,4;1056
"51";"310026927";42;16,2;260
"52";"310780283";166;27,1;612
"53";"310780382";67;21,2;316
"54";"310781000";546;17,7;3090
"55";"310781505";113;15;754
"56";"310783055";187;26,3;712
"57";"330000340";42;11;383
"58";"330780115";53;18,9;280
"59";"330780263";142;23,4;608
"60";"330780479";50;16,2;309
"61";"330780529";161;15,9;1012
"62";"330781402";199;17,9;1114
"63";"330782582";48;16,2;297
"64";"330783648";211;44,9;470
"65";"340000033";54;16,8;322
"66";"340015502";199;14,9;1333
"67";"340015965";234;25,7;909
"68";"340024314";56;25,9;216
"69";"340780667";47;13,9;339
"70";"340780675";104;17,5;594
"71";"340782036";525;37,8;1389
"72";"350000121";352;18,9;1865
"73";"370000093";99;13,3;745
"74";"380000067";134;22,7;591
"75";"380012658";55;16,7;330
"76";"380780197";52;13,8;378
"77";"380785956";304;24,1;1263
"78";"400000105";112;22,6;496
"79";"410000020";52;19,5;266
"80";"420010050";259;20,2;1282
"81";"420011413";324;31,4;1032
"82";"420785354";89;26,8;332
"83";"440000271";183;24,3;753
"84";"440000412";99;11,3;879
"85";"440029338";94;12,7;740
"86";"440033819";71;10;713
"87";"440050433";105;18,3;574
"88";"450002613";292;32,2;908
"89";"470000027";43;16,3;264
"90";"470016049";104;19;546
"91";"490014909";295;13;2276
"92";"500000450";32;10,9;294
"93";"510002447";103;25,8;400
"94";"510024979";346;28,1;1230
"95";"540000478";78;23,2;336
"96";"540000486";70;12,2;573
"97";"540001096";38;13,3;285
"98";"540002698";243;21,2;1145
"99";"540026895";41;10,6;388
"100";"560008799";122;15;815
"101";"570000059";104;19,4;535
"102";"570000083";54;9;598
"103";"570000646";143;34,5;414
"104";"570026252";110;31,2;352
"105";"570026682";93;32,6;285
"106";"590000592";75;18,4;407
"107";"590000618";89;16,1;553
"108";"590008041";440;22;2002
"109";"590052056";95;16,7;570
"110";"590780268";98;20,5;477
"111";"590780284";128;20;641
"112";"590780383";395;22,4;1766
"113";"590811279";488;35,3;1381
"114";"590815056";165;18;919
"115";"590816310";70;19,2;364
"116";"590817458";147;41,4;355
"117";"600000467";81;30,3;267
"118";"600100754";507;32,8;1544
"119";"600110175";77;15,3;502
"120";"600113476";117;21,9;535
"121";"610000069";28;10,4;269
"122";"620000653";105;30,6;343
"123";"620003202";42;16,5;254
"124";"620003376";101;19;532
"125";"620006049";116;40,1;289
"126";"620100099";71;24,2;293
"127";"620100750";246;21,9;1122
"128";"620101501";62;14,2;437
"129";"620118513";63;24,4;258
"130";"630780211";39;25,5;153
"131";"630780369";55;18,2;302
"132";"630781268";83;27;307
"133";"640000162";65;15,2;427
"134";"640018206";117;24;488
"135";"640780946";132;15,7;842
"136";"660006305";34;11,7;291
"137";"660780669";123;18,7;657
"138";"660780784";153;25;613
"139";"670000025";215;22;976
"140";"670000165";24;9,2;262
"141";"670018068";109;7,8;1398
"142";"670780170";91;11,7;776
"143";"670780212";30;5,7;526
"144";"680000494";166;9,9;1675
"145";"680000684";87;11,2;777
"146";"690000575";116;25,6;453
"147";"690022959";85;30,9;275
"148";"690023239";804;36,5;2200
"149";"690023411";229;40;572
"150";"690041124";171;34,7;493
"151";"690054713";27;35,1;77
"152";"690780390";287;33,5;856
"153";"690780416";90;28,6;315
"154";"690780648";2343;45,8;5117
"155";"690780655";382;25,8;1483
"156";"690783154";338;41,6;813
"157";"690793468";201;31,5;638
"158";"690807367";101;35,7;283
"159";"710006859";176;42,9;410
"160";"710780917";262;49,9;525
"161";"710978263";98;33,4;293
"162";"710978289";93;29,7;313
"163";"720000199";48;11,5;419
"164";"730000031";97;28,3;343
"165";"740014345";124;24,8;501
"166";"740780424";120;22,6;531
"167";"740781141";197;26,1;754
"168";"750000523";55;17,1;322
"169";"750100125";166;24,9;666
"170";"750100232";316;29,5;1072
"171";"750150104";138;18,6;743
"172";"750150237";118;25,9;456
"173";"750300071";722;39,6;1825
"174";"750300154";163;15,8;1032
"175";"750300360";269;25,4;1059
"176";"750300766";135;24,1;561
"177";"750300881";95;10,2;933
"178";"750300915";192;23,3;825
"179";"750301145";214;21,6;991
"180";"750803447";329;44;748
"181";"760000158";109;17,8;614
"182";"760000463";26;9,9;263
"183";"760021329";149;13,8;1081
"184";"760025312";74;13,4;554
"185";"760027292";41;15;273
"186";"760780619";58;12,3;471
"187";"760921809";236;23,3;1015
"188";"770019032";65;18,8;345
"189";"770300143";272;32,6;834
"190";"780000287";85;23,5;362
"191";"780000311";178;25,5;699
"192";"780300208";108;20,4;529
"193";"780300414";467;24,2;1931
"194";"790009948";36;11,3;318
"195";"800006124";131;18,6;706
"196";"800009920";37;7,7;483
"197";"810101170";78;14,9;523
"198";"810101444";56;11,6;481
"199";"820000040";71;26,2;271
"200";"830000311";18;7;256
"201";"830000345";136;25,7;529
"202";"830100251";93;18,2;510
"203";"830100434";148;23,3;635
"204";"830100459";497;27,3;1820
"205";"840000400";186;19,3;966
"206";"840000418";21;24,7;85
"207";"840000467";77;19,2;400
"208";"850000142";66;20,6;320
"209";"860000223";263;26,6;990
"210";"870000064";67;24,6;272
"211";"870000288";414;28,8;1438
"212";"890000169";165;18,3;903
"213";"890975550";146;18,2;801
"214";"900003039";117;18,4;636
"215";"910020254";39;15,2;256
"216";"910300144";310;32,5;953
"217";"910300177";408;32,7;1247
"218";"910803543";184;21;878
"219";"920029550";120;23,5;510
"220";"920100013";78;18,8;416
"221";"920100021";253;15;1688
"222";"920100047";97;29,5;329
"223";"920300753";82;25,5;321
"224";"930000286";52;18,7;278
"225";"930000328";124;20,8;596
"226";"930100037";158;26,9;588
"227";"930300025";93;14,1;661
"228";"930300082";84;26,4;318
"229";"930300116";104;22,7;458
"230";"930300298";86;28,7;300
"231";"930300553";156;25,1;621
"232";"930300595";127;20,3;625
"233";"940000573";216;22,7;950
"234";"940006679";186;25;745
"235";"940300494";68;16,4;414
"236";"940813033";198;19,4;1018
"237";"950000307";36;12,6;285
"238";"950000323";63;24,8;254
"239";"950000331";50;15,3;326
"240";"950000364";107;20,7;516
"241";"950300202";83;20,2;410
"242";"950300244";333;30,3;1099
"243";"950300277";130;36,9;352
"244";"950807982";162;17,6;920
"245";"970107249";60;6,6;915
"246";"970202313";186;35,6;523
"247";"970400024";75;18,1;415
"248";"970462081";103;13,9;742
"249";"970462107";78;10,8;719
