"lib_reg","annee","TOT","COMPL_nb","COMPL_pct"
"AUVERGNE-RHÃ”NE-ALPES",2021,5228,122,2.3
"AUVERGNE-RHÃ”NE-ALPES",2022,4534,104,2.3
"AUVERGNE-RHÃ”NE-ALPES",2023,4312,96,2.2
"AUVERGNE-RHÃ”NE-ALPES",2024,4068,91,2.2
"AUVERGNE-RHÃ”NE-ALPES",2025,2044,72,3.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,1567,42,2.7
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,1352,29,2.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,1289,33,2.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,1250,27,2.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,719,27,3.8
"BRETAGNE",2021,1253,43,3.4
"BRETAGNE",2022,1189,40,3.4
"BRETAGNE",2023,1196,30,2.5
"BRETAGNE",2024,1058,36,3.4
"BRETAGNE",2025,526,16,3
"CENTRE-VAL DE LOIRE",2021,697,23,3.3
"CENTRE-VAL DE LOIRE",2022,728,25,3.4
"CENTRE-VAL DE LOIRE",2023,756,33,4.4
"CENTRE-VAL DE LOIRE",2024,685,21,3.1
"CENTRE-VAL DE LOIRE",2025,372,13,3.5
"CORSE",2021,128,6,4.7
"CORSE",2022,103,7,6.8
"CORSE",2023,92,5,5.4
"CORSE",2024,84,6,7.1
"CORSE",2025,55,2,3.6
"GRAND EST",2021,3142,63,2
"GRAND EST",2022,3118,59,1.9
"GRAND EST",2023,3179,80,2.5
"GRAND EST",2024,2824,36,1.3
"GRAND EST",2025,1484,32,2.2
"GUADELOUPE",2021,197,6,3
"GUADELOUPE",2022,240,7,2.9
"GUADELOUPE",2023,239,3,1.3
"GUADELOUPE",2024,181,5,2.8
"GUADELOUPE",2025,72,5,6.9
"HAUTS-DE-FRANCE",2021,3975,115,2.9
"HAUTS-DE-FRANCE",2022,3959,106,2.7
"HAUTS-DE-FRANCE",2023,3859,89,2.3
"HAUTS-DE-FRANCE",2024,3555,65,1.8
"HAUTS-DE-FRANCE",2025,1873,66,3.5
"ILE-DE-FRANCE",2021,7506,232,3.1
"ILE-DE-FRANCE",2022,6957,228,3.3
"ILE-DE-FRANCE",2023,6320,198,3.1
"ILE-DE-FRANCE",2024,5530,165,3
"ILE-DE-FRANCE",2025,2891,115,4
"LA RÃ‰UNION",2021,407,16,3.9
"LA RÃ‰UNION",2022,480,11,2.3
"LA RÃ‰UNION",2023,474,17,3.6
"LA RÃ‰UNION",2024,398,5,1.3
"LA RÃ‰UNION",2025,166,10,6
"MARTINIQUE",2021,88,1,1.1
"MARTINIQUE",2022,80,1,1.3
"MARTINIQUE",2023,91,1,1.1
"MARTINIQUE",2024,81,1,1.2
"MARTINIQUE",2025,36,0,0
"NORMANDIE",2021,1850,55,3
"NORMANDIE",2022,1815,66,3.6
"NORMANDIE",2023,1666,46,2.8
"NORMANDIE",2024,1552,44,2.8
"NORMANDIE",2025,824,33,4
"NOUVELLE-AQUITAINE",2021,2690,112,4.2
"NOUVELLE-AQUITAINE",2022,2566,78,3
"NOUVELLE-AQUITAINE",2023,2573,81,3.1
"NOUVELLE-AQUITAINE",2024,2601,72,2.8
"NOUVELLE-AQUITAINE",2025,1216,69,5.7
"OCCITANIE",2021,3766,132,3.5
"OCCITANIE",2022,3655,113,3.1
"OCCITANIE",2023,3264,114,3.5
"OCCITANIE",2024,2991,92,3.1
"OCCITANIE",2025,1421,59,4.2
"PAYS DE LA LOIRE",2021,1491,47,3.2
"PAYS DE LA LOIRE",2022,1520,48,3.2
"PAYS DE LA LOIRE",2023,1377,41,3
"PAYS DE LA LOIRE",2024,1301,39,3
"PAYS DE LA LOIRE",2025,636,28,4.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,3589,113,3.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,3286,81,2.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,3126,86,2.8
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,2810,57,2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,1592,52,3.3
