"lib_reg","TOT","TOT_rev","PCT_rev"
"AUVERGNE-RHÃ”NE-ALPES",3904,705,18.1
"BOURGOGNE-FRANCHE-COMTÃ‰",1288,210,16.3
"BRETAGNE",1007,108,10.7
"CENTRE-VAL DE LOIRE",680,68,10
"CORSE",80,11,13.8
"GRAND EST",2742,329,12
"GUADELOUPE",153,8,5.2
"HAUTS-DE-FRANCE",3439,556,16.2
"ILE-DE-FRANCE",5240,702,13.4
"LA RÃ‰UNION",352,49,13.9
"MARTINIQUE",71,15,21.1
"NORMANDIE",1497,182,12.2
"NOUVELLE-AQUITAINE",2378,290,12.2
"OCCITANIE",2778,408,14.7
"PAYS DE LA LOIRE",1201,87,7.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2828,370,13.1
