"statut","baria_t","n","pct"
"private for profit","ANN",467,2.5
"private for profit","BPG",5779,31.4
"private for profit","DBP",32,0.2
"private for profit","SLE",12120,65.9
"private not-for-profit","ANN",66,2.8
"private not-for-profit","BPG",867,37.4
"private not-for-profit","DBP",4,0.2
"private not-for-profit","SLE",1382,59.6
"public","ANN",26,0.5
"public","BPG",1769,35.1
"public","DBP",8,0.2
"public","SLE",3242,64.3
"public academic","ANN",18,0.5
"public academic","BPG",1730,44.6
"public academic","DBP",22,0.6
"public academic","SLE",2106,54.3
