"statut","annee","TOT","COMPL_nb","COMPL_pct"
"private for profit",2021,24601,693,2.8
"private for profit",2022,22857,625,2.7
"private for profit",2023,21519,561,2.6
"private for profit",2024,19430,471,2.4
"private for profit",2025,10074,340,3.4
"private not-for-profit",2021,2813,100,3.6
"private not-for-profit",2022,2596,60,2.3
"private not-for-profit",2023,2570,70,2.7
"private not-for-profit",2024,2435,51,2.1
"private not-for-profit",2025,1210,53,4.4
"public",2021,5399,166,3.1
"public",2022,5180,165,3.2
"public",2023,5064,131,2.6
"public",2024,5112,128,2.5
"public",2025,2592,102,3.9
"public academic",2021,4761,169,3.5
"public academic",2022,4949,153,3.1
"public academic",2023,4660,191,4.1
"public academic",2024,3992,112,2.8
"public academic",2025,2051,104,5.1
